x,Pressure,Ambient
0,100714.91,100710.49
1,100717.55,100714.05
2,100718.41,100714.62
3,100719.53,100715.75
4,100719.80,100716.27
5,94795.95,100717.01
6,100721.26,100717.90
7,100723.67,100718.85
8,100891.25,100719.19
9,101391.65,100719.69
10,101542.46,100719.42
11,101564.55,100719.00
12,101553.50,100719.21
13,95586.33,100718.99
14,101560.65,100718.86
15,101562.48,100718.70
16,101554.89,100718.45
17,101553.74,100718.25
18,101558.78,100718.73
19,95586.25,100723.01
20,101553.20,100723.82
21,101558.18,100724.17
21,101558.42,100725.00
22,95578.71,100725.22
23,101565.74,100725.57
24,101549.40,100725.64
25,101553.84,100725.19
26,95582.33,100725.79
27,101572.53,100725.41
28,101560.96,100725.64
29,101563.05,100725.21
30,95515.04,100727.07
31,101164.56,100726.08
32,100750.25,100726.69
33,100731.40,100726.78
34,94806.97,100727.10
35,100732.73,100727.64
